18/8/2012,Had a good stay in Ballyglass. Nice and quiet. Would definitely recommend it to a friend.
18/8/2012,Had a fantastic stay at Ballyglass. Very quiet and relaxing. Would definitely come back!
25/8/2012,We all had a wonderful relaxing stay here at Ballyglass Cottage. The cottage is lovely with everything we needed and felt just like home. We will definitely be back to stay again!
09/08/2012,"Lovely cottage, lovely people, lovely holiday - Thank You!"
23/9/2012,Yet another wonderful stay. Such a great location for us to visit family in the Roscommon Balinasloe area. Can't believe the swallows are still here at the end of September!!
26/10/2012,"Lovely stay, made us very welcome. Lovely views. Will return soon."
2012,Had a nice time except for the weather. Your cottage is lovely and it was good to meet you. Would like to come again.
25th Jul 2020,A very nice place. Peace and quiet allows you to rest. There are nice people there.
22nd Sep 2019,"Comment: Cottage was truly picturesque, clean and warm, with all the comforts of home. Unspoiled views, animals as close as your garden gate. Extremely friendly owner and family. Quiet, comfort, what more could you possibly want or expect from a country cottage holiday in beautiful Ireland...??? Outstanding!!! 5*"
14th Sep 2019,
29th Jun 2019,"Comment: We thoroughly enjoyed our stay at Ballyglass Cottage, it was our second time to stay here and we can't wait to return again. This cottage is a very serene home away from home. Our children absolutely adore everything about Ballyglass Cottage. If you want a relaxing break while also being within driving distance to many wonderful places to visit, particularly in the Midlands and the West of Ireland then I recommend you book this fantastic cottage to get away from it all. The best thing being that there is very little signal inside the cottage so you even get a break from the internet, 100% recommend."
8th Jun 2019,"Comment: great location, warm comfortable accommodation. After busy urban living the tranquil environment a total chill out experience"
11th May 2019,
27th Apr 2019,
13th Apr 2019,Comment: we had a great holiday in this cottage and we will definitely go back next year
23rd Mar 2019,
23rd Feb 2019,"Comment: It was just perfect, a traditional but beautifully modernised stone thatched cottage tucked away down narrow lanes and surrounded by fields."
4th Aug 2018,Comment: Lovely peaceful place relaxing all the way . Deffo go back again.
14th Jul 2018,Comment: We thoroughly enjoyed our stay at Ballyglass Cottage. We didn't want to leave. Everything was as described there were no nasty surprises. We would like to make a return trip and possibly make it an annual tradition for our family as we absolutely loved every minute of our stay here.
7th Jul 2018,"Comment: The Cottage is located in a very quite and peaceful area, real sense of safety about it. Wonderful grounds outside for kids to play in - and again feel so safe and secure leaving them about outside also. Plenty to do in area - depending on what you want from walks, bikes in shed ( 6) to go cycling. Rosscommon town only 20 minutes away as is Athlone town- would highly recommend the cottage and area!"
27th May 2018,Comment: The most relaxing and wonderful stay.Made many great day trips and got to return home to peace and quiet. Loved it.
17th Mar 2018,"Comment: It was perfect. One thing that may help is having WiFi. Thank you very much, it was an excellent getaway"
18th Feb 2018,Comment: Sykes advertised a cottage which I booked however a short time after I was informed the cottage was no longer available. I received my deposit money back however had little help or assistance in finding a replacement cottage from Sykes or any compensation for having to madly look for another cottage. I realise it was the owners who retracted the dates however surely there should be an agreement that dates that are on the website and booked stay booked and cannot be cancelled by the owner at the drop of a hat.
9th Sep 2017,"Comment: No,accommodation excellent. Many thanks"
19th Aug 2017,
5th Aug 2017,Comment: It was picturesque and had character...would go again
29th Jul 2017,
1st Jul 2017,
24th Jun 2017,Comment: This is a lovely cottage in a great location and we have stayed in it twice before. The cottage is set in a quiet and beautiful area but it is very accessible for Athlone (motorway connection as well) and Roscommon. The owners are very nice people and it has been a pleasure to stay in their family's cottage. I am also rather biased as my mother comes from this part of Ireland.
1st Oct 2016,
28th Sep 2016,Comment: We had a wonderful time in this lovely traditional Irish Cottage. Its a great location to have an escape and just completely relax!
27th Aug 2016,
20th Aug 2016,Comment: On outward journey ferry was cancelled other passengers had a text or e mail. We had none we checked before travelling and it was running.the later ferry was one hour late leaving.and we did not get to the cottage till after nine at night.irishferries could have done a better job
16th Jul 2016,The cottage was beautiful. Met the owner Mr. Ray Fallon. Enjoyed talking and visiting with him. Ireland is a beautiful country and the people are very friendly.
2nd Jul 2016,"Stunning location, peaceful."
28th May 2016,"The cottage is a delightful location, incredibly peaceful if you don't mind baaing sheep. Ray, the owner, has been very welcoming and attentive. We recommend the place highly and might come back. Paula and Michael"
14th May 2016,Lovely period cottage in a great location. Situated in reach of plenty of activities/ sights etc.
16th Apr 2016,Very lovely cottage
29th Mar 2016,
19th Mar 2016,"Great homely feel to the cottage. On arrival it was clear the owner took a great deal of pride in the presentation, as it was very clean and had all the amenities as described prior to arrival. Garden was great for our dog to stretch his legs first thing in the morning and both outbuildings contained all you need for a week away (washing machine and waste disposal facilities). I will certainly be coming back and would recommend to anyone looking for a clean and homely cottage with that personal touch."
12th Sep 2015,Excellent will return and use again perfect for pets walking the land garden is great too.
29th Aug 2015,very friendly owner
8th Aug 2015,Peaceful area
6th Jun 2015,The cottage is in a beautiful position and is very convenient for Roscommon town and for Athlone. The surrounding area is very quiet and peaceful.
23rd May 2015,Situated in a quiet location. But within easy reach of towns
16th May 2015,"The cottage was perfect for our get away to find our family roots in the beautiful country side of Ireland. It was like taking a step back in time, while still having all the creature comforts at your disposal! Niall and his family did a beautiful job with the restoration. It was an amazing find for us1 Thank You Trip Advisor =) . Recessed lighting, access to the loft bedrooms via either a spiral staircase or a ladder, bedroom down, full working kitchen. We were giving a print out to bring along with 40 pages worth of information and a number to call just in case they left something out. You are made to feel welcome in their home and it makes you want to return. There are 40 acres to explore and all they ask is that you close the gates behind you as you enter. So whether you live in the busy cities in Ireland and just want a quiet retreat or you want a great away from another country in the country...This is perfect."
28th Mar 2015,What a perfect place to stay. Our four daughters loved sleeping up in the lofts. It was true country living. We all loved watching all the sheep across the road. We made a lot of day trips under two hours and visited several castles and tourist attractions. The owner was delightful to talk to. Ireland was absolutely gorgeous. Our favorite place in Ireland was in Roscommon. We loved hiking through sheep pastures at RinDoon. It is a ruined church and medieval city walking area. We would definitely recommend this rental to others. It was very affordable and we made very special memories as a family.
21st Mar 2015,"Loved that it was represented exactly as shown in the pictures and as described! There were little &quot;quirky&quot; things that made us feel truly in the country in a beautifully restored-but-old cottage! Once you learn how to turn everything on, everything works beautifully, and we love the conservation that they expect (because we are &quot;green&quot; people). Niall couldn't have been friendlier, and Ray was an absolute DELIGHT to meet and talk to. Great location for us! Day trips within easy reach, the cottage serene and so peaceful. Would definitely do it again!"
14th Feb 2015,
8th Nov 2014,Excellent facilities in a beautiful location. Had a great holiday
25th Oct 2014,Quiet location away from it all..
18th Oct 2014,
21st Sep 2014,"Lovely Irish cottage. Perfect size for our family of five. Loved seeing the sheep across the road every morning. A little off the beaten path, but good location for day trips to various areas of western Ireland."
23rd Aug 2014,
16th Aug 2014,
9th Aug 2014,
26th Jul 2014,Great location
2nd Jul 2014,
21st Jun 2014,"About the cottage, the beds were very comfortable. It was a quiet, relaxing, friendly area. The owner was very friendly when he visited. The place had a nice feel to it."
31st May 2014,
17th May 2014,Good Comments: A dream location hidden in beautiful countryside. The cottage itself is idyllic and just a short drive from the lovely little town of Roscommon and also from Athlone which has many attractions. Nearby is the Hodson Bay - worth a look and a walk around the lake. The cottage was perfect and would absolutely go here again!
19th Apr 2014,Good Comments: The over all feel was superb.
5th Apr 2014,"Good Comments: perfect, a lovely cottage and the proprierty is very friendly"
23rd Nov 2013,"Good Comments: We were made to feel at home there. Everything we needed was there. It is such a beautiful house, we will be back. Next time we will stay for two weeks. We love the area. Thank you for giving us such a wonderful vacation. Marge and Frank"
16th Nov 2013,
11th Nov 2013,"Good Comments: the cottage was what it described, no hidden issues, located well for our needs and the owner made himself available when required"
2nd Sep 2013,Good Comments: We liked the calm but it was a bit out of the way. Beautiful scenery.
10th Aug 2013,Good Comments: no noise out in the country
3rd Aug 2013,Good Comments: The peaceful location of the cottage was ideal for a weeks break away from it all and was thoroughly enjoyable and touring Ireland was fab
22nd Jun 2013,"Good Comments: peaceful and relaxing. Set in the middle of the countryside on a typical Irish minor road, ( one car width with passing places - farm gates, property entrances). Whilst the cottage was on the owners land and surrounded by their farm, you never saw them. But they were only a phone call away if you needed them."
15th Jun 2013,Good Comments: I could not have imagined a more beautiful place to stay in Ireland. 100% perfect!
1st Jun 2013,Good Comments: This is in a very nice location which is really peaceful and relaxing.
18th May 2013,"Good Comments: Just so you know, this rental only has a washer. There is no dryer."
8th Sep 2012,Good Comments: The property was outstanding and the owner was very friendly and helpful. The views were beautiful also
